265304|64287|-1|bgp
265304|273148|-1|bgp
265304|22787|-1|bgp
14956|215196|-1|bgp
14956|329001|-1|bgp
14956|198440|-1|bgp
14956|37614|-1|bgp
14956|210558|-1|bgp
14956|214062|-1|bgp
14956|15331|-1|bgp
14956|26007|-1|bgp
14956|15234|-1|bgp
14956|397919|-1|bgp
14956|395702|-1|bgp
14956|394186|-1|bgp
14956|25694|-1|bgp
14956|21573|-1|bgp
14956|22881|-1|bgp
14956|30268|-1|bgp
14956|31772|-1|bgp
14956|31816|-1|bgp
14956|31955|-1|bgp
14956|33324|-1|bgp
14956|40391|-1|bgp
14956|46973|-1|bgp
14956|54017|-1|bgp
14956|396204|-1|bgp
14956|399749|-1|bgp
14956|15250|-1|bgp
14956|63376|-1|bgp
14956|396332|-1|bgp
14956|199413|-1|bgp
14956|394725|-1|bgp
14956|6081|-1|bgp
14956|45785|-1|bgp
14956|393872|-1|bgp
14956|210432|-1|bgp
14956|132212|-1|bgp
14956|401829|-1|bgp
14956|134148|-1|bgp
14956|45938|-1|bgp
14956|140592|-1|bgp
14956|16875|-1|bgp
14956|1217|-1|bgp
14956|9292|-1|bgp
14956|9890|-1|bgp
14956|24038|-1|bgp
14956|56311|-1|bgp
14956|59326|-1|bgp
14956|64011|-1|bgp
14956|133299|-1|bgp
14956|133470|-1|bgp
14956|135002|-1|bgp
14956|135066|-1|bgp
14956|6185|0|bgp
14956|15550|-1|bgp
14956|14636|-1|bgp
14956|214036|-1|bgp
14956|47482|-1|bgp
14956|208076|-1|bgp
14956|211623|-1|bgp
14956|213028|-1|bgp
14956|213788|-1|bgp
14956|208220|-1|bgp
14956|205839|-1|bgp
14956|60633|0|bgp
14956|1798|0|bgp
14956|13857|0|bgp
14956|15190|0|bgp
14956|26038|0|bgp
14956|36687|0|bgp
14956|46110|0|bgp
14956|212317|0|bgp
14956|395502|0|bgp
14956|33026|0|bgp
14956|26943|-1|bgp
14956|59451|-1|bgp
14956|51958|-1|bgp
14956|206553|-1|bgp
14956|11382|-1|bgp
14956|44305|-1|bgp
14956|394467|-1|bgp
14956|396241|-1|bgp
14956|395391|-1|bgp
14956|62929|-1|bgp
14956|26632|-1|bgp
14956|26930|-1|bgp
14956|31786|-1|bgp
14956|40279|-1|bgp
14956|213535|-1|bgp
14956|399968|-1|bgp
14956|3130|0|bgp
14956|3657|0|bgp
14956|6547|-1|bgp
14956|11123|0|bgp
14956|13575|-1|bgp
14956|15285|-1|bgp
14956|16842|0|bgp
14956|18512|-1|bgp
14956|18568|0|bgp
14956|21561|-1|bgp
14956|26068|0|bgp
14956|32212|0|bgp
14956|40709|-1|bgp
14956|53931|-1|bgp
14956|53934|-1|bgp
14956|55216|0|bgp
14956|141889|0|bgp
14956|395657|0|bgp
14956|396145|-1|bgp
14956|397301|0|bgp
14956|401703|0|bgp
14956|11240|0|bgp
14956|11611|0|bgp
14956|12033|0|bgp
