graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity
20251201_crve_40_4.txt,31508,268366,17.034784816554527,1,103.87499443357079,3.3970054303478823,-0.30358644798637624
20251201_crve_40_5.txt,31508,267525,16.981401548813,1,104.94737993369911,3.396264065764263,-0.2994902749918811
20251201_crve_40_7.txt,31508,262471,16.6605941348229,1,103.78650358583963,3.3824759762444025,-0.3139477096570326
20251201_crve_40_6.txt,31508,272536,17.299479497270536,1,106.77816902678039,3.393869262765276,-0.3141120065497851
20251201_crve_40_2.txt,31508,270244,17.153992636790658,1,104.55602692285144,3.4189493962160618,-0.30084353878435277
20251201_crve_40_3.txt,31508,256296,16.26863018915831,1,101.4411809881426,3.3743631739763775,-0.31515390976079016
20251201_crve_40_1.txt,31508,270340,17.16008632728196,1,104.26838285021482,3.3843274750565326,-0.31428726854442396
20251201_crve_40_0.txt,31508,259805,16.491367271803988,1,104.34640923187264,3.377250414246922,-0.2767614874823157
20251201_crve_40_8.txt,31508,269760,17.123270280563666,1,105.23741170666922,3.399971642234025,-0.3147127513907493
20251201_crve_40_9.txt,31508,261993,16.63025263425162,1,103.97300677687872,3.370091861547413,-0.31507738986864164
