|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,graph_idx
15754,124726,15.834200837882442,1,85.49653601148094,3.4327296863631758,-0.38738888520778547,20251201_crve_20_6.txt
15754,129381,16.425161863653674,1,86.34406959255843,3.419922251138662,-0.38084925333999264,20251201_crve_20_7.txt
15754,127648,16.205154246540562,1,85.93912013172941,3.4278181485311516,-0.3896676901730336,20251201_crve_20_5.txt
15754,131364,16.676907452075664,1,87.63015762719394,3.4485495272110667,-0.3905015263427954,20251201_crve_20_4.txt
15754,125741,15.963057001396471,1,85.0301279971207,3.393918931603669,-0.3885388244882741,20251201_crve_20_0.txt
15754,122176,15.510473530531929,1,84.859206058355,3.375493768191821,-0.3816875284350026,20251201_crve_20_1.txt
15754,134445,17.068046210486226,1,87.87844728038394,3.4464833133043595,-0.3787868161610302,20251201_crve_20_3.txt
15754,129166,16.397867208328044,1,85.84112951011929,3.416390004511602,-0.3811122205817703,20251201_crve_20_2.txt
15754,126709,16.08594642630443,1,85.35101544674023,3.418282953260434,-0.3926193832593503,20251201_crve_20_9.txt
15754,126259,16.028818077948458,1,85.66748906103845,3.4392779706796928,-0.3927138679404363,20251201_crve_20_8.txt
