graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger constant,n_spanning_trees,treewidth,natural connectivity,spectral gap,spectral radius,effective graph resistance,algebaric connectivity
SCION_20230101_conn_12.45_5.txt,1984,12351,12.450604838709678,1,22.50908373169867,4.580401112771627,-0.30423252722412875,0.05570685928649508,0.091578401471015,1.1574307304785894,inf,210,36.37980695210212,27.182781517643885,43.972677239944346,378326581601.5716,0.05329656060435269
SCION_20230101_conn_12.45_4.txt,1984,12351,12.450604838709678,1,22.416344924975178,4.581764093640414,-0.2984628254361653,0.05683084361750839,0.09170063383676545,1.1007556675062973,inf,225,36.53876516302659,26.575542413020273,44.13163545086777,127772565818.80943,0.035113313098740696
SCION_20230101_conn_12.45_6.txt,1984,12351,12.450604838709678,1,22.24940148789747,4.596806997737037,-0.30509604973568455,0.05522354079512792,0.08459185221945771,1.119647355163728,inf,226,36.26247754744383,26.84960537452672,43.855347835285485,-624801250099.119,0.04925165324713364
SCION_20230101_conn_12.45_7.txt,1984,12351,12.450604838709678,1,22.309737215713014,4.60458104517638,-0.2916395746696738,0.05549231779258749,0.08937243996124564,1.13727959697733,inf,221,36.100234725209056,26.2035828617324,43.69310501304822,567489872401.7524,0.06241726638782383
SCION_20230101_conn_12.45_3.txt,1984,12351,12.450604838709678,1,22.402084878248154,4.595578725361229,-0.29327690157992387,0.05657278280525291,0.0886095432283859,1.1574307304785894,inf,220,36.58686756808967,27.01374242877876,44.17973785593189,161061427201.38696,0.03319433193445014
SCION_20230101_conn_12.45_2.txt,1984,12351,12.450604838709678,1,22.310979767427455,4.585952872863778,-0.2971206670988272,0.05678626752137828,0.09293037214376468,1.1360201511335013,inf,217,36.43744908564525,26.881805348459377,44.030319373486996,157837692913.8685,0.0939484442648657
SCION_20230101_conn_12.45_0.txt,1984,12351,12.450604838709678,1,22.247090685952823,4.584501313778702,-0.30785406709436675,0.057414611005692597,0.08160399231773424,1.163727959697733,inf,221,36.31863733928144,26.172203976053027,43.9115076271209,-174612268429.68854,0.04219855229602801
SCION_20230101_conn_12.45_1.txt,1984,12351,12.450604838709678,1,22.30178324539302,4.591652595203965,-0.31049523426288933,0.056817949109743436,0.08626201044355591,1.1574307304785894,inf,225,36.39276372873542,27.878969759759805,43.98563401657835,206359953601.41006,0.0979238290652728
SCION_20230101_conn_12.45_9.txt,1984,12351,12.450604838709678,1,22.289779130050352,4.606696743246847,-0.289492992439985,0.05569727220843594,0.08849111663447055,1.1750629722921915,inf,219,36.12472483800541,26.37728597820312,43.717595125845186,453991897921.6697,0.037047708089255546
SCION_20230101_conn_12.45_8.txt,1984,12351,12.450604838709678,1,22.35471867894596,4.59929422292635,-0.300813167476837,0.05490440421745176,0.08083800957391342,1.1385390428211586,inf,221,36.3429850805076,26.88593783539616,43.93585536834935,146302807520.80508,0.09552627891984176
