graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger constant,n_spanning_trees,treewidth,natural connectivity,spectral gap,spectral radius,effective graph resistance,algebaric connectivity
SCION_20230101_dre_12.54_9.txt,1611,10181,12.63935443823712,23,22.205678485491113,4.563950593889594,-0.3951048243123594,0.05252033214010076,0.09666854934636877,1.2096273291925466,0,179,33.066277446251924,24.206976760228294,40.45088782938118,inf,0.0
SCION_20230101_dre_12.54_8.txt,1640,10364,12.639024390243902,16,22.587044398458637,4.553702041840631,-0.3887101498116048,0.05209380856077333,0.09221724170291626,1.1722560975609757,0,182,33.64537184523009,24.72908466772055,41.047823366018356,inf,0.0
SCION_20230101_dre_12.54_6.txt,1609,10168,12.638906152889994,15,22.185628589130836,4.591814519977864,-0.3920641080664933,0.05302719507855989,0.1009612327932673,1.2670807453416149,0,183,33.2184336211192,25.083478980204454,40.601801768083966,inf,0.0
SCION_20230101_dre_12.54_7.txt,1636,10339,12.639364303178484,21,22.586119146059534,4.567576885641289,-0.38190985820617984,0.05500271563237034,0.10751246897752474,1.1636085626911314,0,180,33.98074213538935,24.933711208113728,41.3807516525275,1.3182005373035133e+17,0.0
SCION_20230101_dre_12.54_5.txt,1617,10219,12.639455782312925,18,22.347024150579266,4.561540263861278,-0.3995755894434348,0.05427778840635163,0.08501719003146979,1.1761978361669243,0,180,33.82901181467234,25.67030844982208,41.21733967423383,inf,0.0
SCION_20230101_dre_12.54_4.txt,1629,10295,12.639656230816453,18,22.554449201090524,4.540034629672415,-0.3999104066830599,0.05407839092122531,0.09289600209042044,1.1671779141104295,0,179,33.830366463680804,24.393654551834178,41.22608807224856,inf,0.0
SCION_20230101_dre_12.54_0.txt,1608,10162,12.639303482587065,20,22.33843034238596,4.5752853134007285,-0.3937448332171772,0.052743229273945626,0.08435164415625919,1.2298136645962734,0,178,33.29038976880936,24.78927461823565,40.67313621851602,inf,0.0
SCION_20230101_dre_12.54_1.txt,1627,10282,12.63921327596804,16,22.59195806618554,4.558107821729681,-0.38639913470029597,0.055543091747338666,0.10010217767428736,1.2196620583717357,0,183,34.309063039169864,25.469165812081847,41.70355614637496,inf,0.0
SCION_20230101_dre_12.54_3.txt,1600,10111,12.63875,16,22.317022615875533,4.5804581151738635,-0.40426952965866864,0.05085455098533478,0.10449580293559539,1.2515625,0,184,32.90204282188782,24.2799815906161,40.279801730066524,inf,0.0
SCION_20230101_dre_12.54_2.txt,1603,10130,12.638802245789146,14,22.474021413412537,4.559411704453652,-0.3915711009438043,0.052702764747744504,0.08866472006598297,1.204368174726989,0,183,33.390082813495596,24.758810878022025,40.7697149660729,inf,0.0
