graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity
CAIDA_20250901_crve_10_8.txt,7864,55219,14.043489318413021,1,65.37890105208928,3.3937727323130473,-0.4554613871535717
CAIDA_20250901_crve_10_9.txt,7864,55271,14.056714140386571,1,65.56744904717655,3.3696489389163045,-0.47152837978181283
CAIDA_20250901_crve_10_4.txt,7864,53318,13.560020345879959,1,64.40577792963815,3.379846077381236,-0.49411938674368994
CAIDA_20250901_crve_10_5.txt,7864,55818,14.195829094608342,1,66.57923329464705,3.3862310902833355,-0.4718950603727871
CAIDA_20250901_crve_10_7.txt,7864,51959,13.214394710071211,1,63.59545429536955,3.3526090623354103,-0.4765550833540117
CAIDA_20250901_crve_10_6.txt,7864,53031,13.48702950152594,1,64.90333672181873,3.353496173589764,-0.47735734742037
CAIDA_20250901_crve_10_2.txt,7864,56948,14.48321464903357,1,66.35398975418727,3.4400074234513083,-0.4452995341851678
CAIDA_20250901_crve_10_3.txt,7864,56269,14.310528992878941,1,66.65884249544905,3.4194973340032546,-0.4799444375749766
CAIDA_20250901_crve_10_1.txt,7864,55347,14.076042726347914,1,65.13918555850258,3.3838543225244098,-0.4657066316464476
CAIDA_20250901_crve_10_0.txt,7864,53468,13.598168870803661,1,63.93838253859767,3.3561882756266077,-0.47390980467542404
