graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger constant,natural connectivity,spectral gap,spectral radius,effective graph resistance,min effective graph resistance,max effective graph resistance,normalized effective graph resistance,algebaric connectivity
20251201_scion_isd_CH_combined.txt,2576,74320,57.701863354037265,1,114.5603109337977,6.2830519245184755,-0.3239507530026852,0.3552209175562052,0.5738702870729152,2.10873786407767,233.73533518509555,153.79748712322078,241.5893282723198,316100.008843418,13095.809211777629,33721708.72032739,0.008988925187477024,0.19670414850601914
20251201_scion_isd_ZA_combined.txt,2544,76825,60.397012578616355,1,116.03992653747994,6.573500210640024,-0.34914851855166307,0.3473866017745984,0.6375607752333486,2.5530451866404715,233.67204191140743,153.70780538078975,241.51353483586743,306146.7322886243,12932.8874223227,32888332.714966625,0.008918943842642958,0.19670781295203657
20251201_scion_isd_BR_combined.txt,9786,106757,21.818311874105866,1,95.22191156510365,4.453909625716614,-0.3127305002357914,0.16773290914163966,0.379732652305995,1.2296296296296296,233.59796236293352,96.5868215373701,242.7866704347826,2454172.40615231,49794.58258479786,487239990.59224707,0.0049351933664934155,0.19652740302290708
20251201_scion_isd_FR_combined.txt,3075,73798,47.99869918699187,1,107.06272000359438,5.783381192052291,-0.3226891848058009,0.3524200533949305,0.49640885535821516,1.2691056910569105,233.48908425851644,153.87344351319464,241.52014443875706,643085.6183566331,31335.97258820708,96326779.73614857,0.006352841026108042,0.0981300322287504
20251201_scion_isd_AU_combined.txt,3416,75997,44.49473067915691,1,104.42317849225954,5.5492369433166795,-0.3474887668757414,0.341056203639944,0.47599928896162347,1.0768667642752563,233.48513836012404,152.10799434895395,241.6213639150325,630463.1658712517,19466.143880798067,66476881.3529254,0.009193812610203645,0.17548416475898113
20251201_scion_isd_CN_combined.txt,2464,71570,58.092532467532465,1,115.14256567946082,6.285896219031623,-0.32994297814562107,0.3630874249837229,0.514106012728834,1.4350912778904665,233.65952063485383,153.82967016672498,241.46906195950726,376572.52028477186,15957.637198399489,39303660.41965794,0.00917882333520842,0.154408824399588
20251201_scion_isd_DE_combined.txt,3849,78461,40.76955053260587,1,100.76549383112764,5.36603372511094,-0.3371947272179517,0.3325125738461793,0.46636067337461284,1.2701298701298702,233.63423523032947,153.37965591036067,241.8898038836132,920152.6710221248,27684.99620426542,106531865.39401335,0.008379649244605788,0.13902837376611182
20251201_scion_isd_IN_combined.txt,4654,75126,32.284486463257416,1,90.10325135410805,4.624019829364572,-0.3110727278263597,0.3492090362739806,0.39055223373481396,0.5351961311123052,233.0390853264915,153.8410906321046,241.48456767035373,1511124.4889448278,34170.576646596724,158995693.13661456,0.009291266770177373,0.13619904774020028
20251201_scion_isd_SG_combined.txt,2188,71781,65.61334552102376,1,120.77976938253427,6.652410720073004,-0.333654711794749,0.36143621220398375,0.6010991241395701,2.993150684931507,233.82800925969548,153.1408222177808,241.51875242323734,282288.16710347595,12735.237832803503,27851965.14034126,0.009682485119546513,0.17180676393527072
20251201_scion_isd_GB_combined.txt,3275,108527,66.27603053435115,1,122.80945393202853,5.8556552635965184,-0.3147787455886661,0.5303963796014077,0.5032210430689813,1.2625954198473281,265.18177073162934,40.47454604511884,273.2758438796987,773651.7236125288,25785.18337322801,84420690.36394851,0.008861512891555842,0.12701092532854877
20251201_scion_isd_NL_combined.txt,2776,73745,53.13040345821326,1,111.90277723995905,6.106477428768802,-0.33069859576518645,0.3505973131766775,0.5316188032611084,1.9054054054054055,233.66494725135982,153.9054126289276,241.5937135729865,451600.6999180388,24668.101037587323,68453980.37930481,0.006239030974684265,0.11253399666922673
20251201_scion_isd_IR_combined.txt,2518,71554,56.833995234312944,1,114.14004992475704,6.208144171085798,-0.32836511349330866,0.36348320192401595,0.5032868159744691,1.0804369414101291,233.63761500241998,153.82986765673476,241.46883521702426,554737.6126394188,93414.9728422644,235125486.64397946,0.001962807188470213,0.02695499365237479
20251201_scion_isd_UA_combined.txt,3343,73407,43.91684116063416,1,102.35305874039916,5.527171192249554,-0.30922771479397604,0.3589536252813778,0.4340288470442242,0.8541510845175767,233.3623350345927,153.82897515343325,241.4769589210128,740627.4361447904,23689.254776724465,79169489.46381316,0.00905844883082261,0.14111883347569956
20251201_scion_isd_IT_combined.txt,2957,77797,52.61887047683463,1,110.17209071669276,6.151925704825301,-0.31390108643569326,0.34645327177636775,0.5551975032327028,1.5942519019442096,233.5988233376151,153.75365579303005,241.59075385746758,415887.8573316465,15035.729582778271,44445616.64669257,0.009021987097056027,0.1966648830520941
20251201_scion_isd_RU_combined.txt,6812,135808,39.873165002936,1,107.49182220090437,4.466461654468119,-0.3135862924986315,0.5601234900317664,0.46242742470225456,1.0840675477239354,320.39696578307155,89.5634955962399,329.2234068248541,1615398.3442584288,34656.8782381163,236047997.6798101,0.006697678447547249,0.1965554991190185
20251201_scion_isd_US_combined.txt,19586,114050,11.64607372613091,1,73.70475577150054,3.086837482924353,-0.19746611966313,0.14268411622905233,0.29113519789026543,0.9798340778557754,233.15244190740034,148.8105231760877,243.03501221168108,8917682.365313634,1936450.6668241275,37925386309.750534,0.00018408746367828954,0.010114381086775624
