graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity
20251201_crve_20_6.txt,15754,124726,15.834200837882442,1,85.49653601148094,3.4327296863631758,-0.38738888520778547,0.19030840549189423,0.5500235977259235,1.0277733693064592,182.26683690734205,283.00248830737775,0.05767161864972997
20251201_crve_20_7.txt,15754,129381,16.425161863653674,1,86.34406959255843,3.419922251138662,-0.38084925333999264,0.21382929968932715,0.5543221534426376,1.0318996984605617,197.651301294492,295.8460152976361,0.07691897026769176
20251201_crve_20_5.txt,15754,127648,16.205154246540562,1,85.93912013172941,3.4278181485311516,-0.3896676901730336,0.2007856679401776,0.5544652609775068,1.0496746548166958,191.4771132513145,289.501719109896,0.14658427561446585
20251201_crve_20_4.txt,15754,131364,16.676907452075664,1,87.63015762719394,3.4485495272110667,-0.3905015263427954,0.21102666201844478,0.5529180702391748,1.039200126963974,204.20368783425334,298.80958476572744,0.15969512700530666
20251201_crve_20_0.txt,15754,125741,15.963057001396471,1,85.0301279971207,3.393918931603669,-0.3885388244882741,0.20482015359165054,0.5467188978727398,1.0193620060307889,191.80337053965172,289.1222911174258,0.07307589320026381
20251201_crve_20_1.txt,15754,122176,15.510473530531929,1,84.859206058355,3.375493768191821,-0.3816875284350026,0.18956727423246297,0.5528309561619011,1.0320584034280273,192.31675937601403,283.08808759088237,0.06243156379272131
20251201_crve_20_3.txt,15754,134445,17.068046210486226,1,87.87844728038394,3.4464833133043595,-0.3787868161610302,0.22359848155678752,0.5446441146956893,1.022377400412633,207.71443593043585,304.38939029754715,0.05669206611894827
20251201_crve_20_2.txt,15754,129166,16.397867208328044,1,85.84112951011929,3.416390004511602,-0.3811122205817703,0.21475101157085438,0.5452462236805571,1.022694810347564,199.97059664361547,295.0622779658553,0.0693069747639111
20251201_crve_20_9.txt,15754,126709,16.08594642630443,1,85.35101544674023,3.418282953260434,-0.3926193832593503,0.20581179212107992,0.557173958764955,1.0503094746865578,192.86135216683067,289.70855897248566,0.14887913014386142
20251201_crve_20_8.txt,15754,126259,16.028818077948458,1,85.66748906103845,3.4392779706796928,-0.3927138679404363,0.19859123140104779,0.5531592463385766,1.0493572448817647,194.05634592529066,288.0674101463463,0.05841720767343711
