graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity
CAIDA_20250901_crve_10_9_conn_12.54_0.txt,7864,49308,12.540183112919634,1,58.000779739795334,3.2407021441089396,-0.46531009741135054
CAIDA_20250901_crve_10_2_conn_12.54_0.txt,7864,49308,12.540183112919634,1,56.98574193687998,3.2748692515706614,-0.43673833584904415
CAIDA_20250901_crve_10_6_conn_12.54_0.txt,7864,49308,12.540183112919634,1,60.105736458390844,3.2741707178903705,-0.47331095880770574
CAIDA_20250901_crve_10_8_conn_12.54_0.txt,7864,49308,12.540183112919634,1,57.95340643274334,3.2666253952183735,-0.45108072855995157
CAIDA_20250901_crve_10_3_conn_12.54_0.txt,7864,49308,12.540183112919634,1,57.87246926340699,3.269270511352215,-0.4759244261136336
CAIDA_20250901_crve_10_7_conn_12.54_0.txt,7864,49308,12.540183112919634,1,60.13043564376608,3.2977660924451433,-0.473565025297421
CAIDA_20250901_crve_10_0_conn_12.54_0.txt,7864,49308,12.540183112919634,1,58.60239330683476,3.2636680221172485,-0.4703999923104607
CAIDA_20250901_crve_10_4_conn_12.54_0.txt,7864,49308,12.540183112919634,1,59.240991543963396,3.29199725040628,-0.49029053611595896
CAIDA_20250901_crve_10_1_conn_12.54_0.txt,7864,49308,12.540183112919634,1,57.474601075929826,3.2563979826432523,-0.4621354766724415
CAIDA_20250901_crve_10_5_conn_12.54_0.txt,7864,49308,12.540183112919634,1,58.29654967260461,3.246968985352837,-0.46656300020543534
