graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger constant,natural connectivity,spectral gap,spectral radius,effective graph resistance,min effective graph resistance,max effective graph resistance,normalized effective graph resistance,algebaric connectivity
CAIDA_20250901_crve_10_9_conn_12.54_0.txt,7864,49308,12.540183112919634,1,58.000779739795334,3.2407021441089396,-0.46531009741135054,0.17551898735828692,0.46779726733650584,1.0034965034965035,164.5676946882554,123.03193751756328,173.5377453500824,1309183.7188877896,83730.67950809334,658374332.9721379,0.0018615684852735387,0.09392017413688697
CAIDA_20250901_crve_10_2_conn_12.54_0.txt,7864,49308,12.540183112919634,1,56.98574193687998,3.2748692515706614,-0.43673833584904415,0.1723329230427343,0.4594126436752467,1.0015893197711379,160.7198964621257,118.15754807371627,169.6899471239527,1352638.1619228355,73154.79614445363,575216162.0838389,0.002224635176931512,0.10749807824590901
CAIDA_20250901_crve_10_6_conn_12.54_0.txt,7864,49308,12.540183112919634,1,60.105736458390844,3.2741707178903705,-0.47331095880770574,0.16487376133381001,0.5108727216018725,1.006993006993007,165.2640575738542,117.0304849893914,174.2341082356812,1539748.8545678859,336545.7606667612,2646259316.1227436,0.0004547385537395993,0.023366807486803337
CAIDA_20250901_crve_10_8_conn_12.54_0.txt,7864,49308,12.540183112919634,1,57.95340643274334,3.2666253952183735,-0.45108072855995157,0.1707563861213204,0.4661638331840149,1.0015893197711379,162.67969490281055,121.7155284548898,171.64974556463756,1337485.8649055932,46755.386670435975,367637605.38963807,0.0035113237400352507,0.16819452388300976
CAIDA_20250901_crve_10_3_conn_12.54_0.txt,7864,49308,12.540183112919634,1,57.87246926340699,3.269270511352215,-0.4759244261136336,0.16759746769710981,0.46409435856854503,1.0,161.42287267395258,116.28451906321324,170.39292333577959,1399738.428697937,116542.9346434739,916377095.1016352,0.0014004700857410655,0.06747727800108527
CAIDA_20250901_crve_10_7_conn_12.54_0.txt,7864,49308,12.540183112919634,1,60.13043564376608,3.2977660924451433,-0.473565025297421,0.1687103907219308,0.5319775734265794,1.0244755244755244,166.7678947056489,121.33758733496677,175.7379453674759,1257765.7297135193,55705.33574455605,438011054.95944417,0.0027447099230590486,0.14117139578982846
CAIDA_20250901_crve_10_0_conn_12.54_0.txt,7864,49308,12.540183112919634,1,58.60239330683476,3.2636680221172485,-0.4703999923104607,0.17934586689445917,0.4982751566985454,1.007628734901462,166.6062640915735,125.82033153040058,175.5763147534005,1275074.3798060205,46164.388770079095,362990588.89913195,0.003385945362554693,0.17034775526145293
CAIDA_20250901_crve_10_4_conn_12.54_0.txt,7864,49308,12.540183112919634,1,59.240991543963396,3.29199725040628,-0.49029053611595896,0.16141802702855818,0.5018772389939693,1.0034965034965035,162.4475126662402,115.87322377908407,171.4175633280672,1337303.6929611517,98642.8014043833,775628347.4426659,0.0015971804614882397,0.07972198566990976
CAIDA_20250901_crve_10_1_conn_12.54_0.txt,7864,49308,12.540183112919634,1,57.474601075929826,3.2563979826432523,-0.4621354766724415,0.178110310025671,0.46844441360902056,1.006993006993007,163.53138927857466,120.66250706254013,172.50143994040167,1167833.5163403247,25324.153205687082,199123816.6563175,0.005738412927043034,0.3105335817599607
CAIDA_20250901_crve_10_5_conn_12.54_0.txt,7864,49308,12.540183112919634,1,58.29654967260461,3.246968985352837,-0.46656300020543534,0.16578720871566696,0.4535769670496691,1.0079465988556897,161.9619853490253,119.37472659511013,170.9320360108523,1257637.9946631137,48677.90522944569,382754368.8191315,0.003158981217516438,0.16155173405537174
